0,State,Abr.,State-hood,Capital,Capital since,Area (mi²),City,Metropolitan,Rank in state,"('State', 'Abr.', 'State-hood', 'Capital', 'Capital since', 'Area (mi²)', 'City', 'Metropolitan', 'Rank in state'),"
37,Oregon,OR,1859,Salem,1855,45.7,"154,637","390,738",3,"('Oregon', 'OR', '1859', 'Salem', '1855', '45.7', '154637', '390738', '3'),"
38,Pennsylvania,PA,1787,Harrisburg,1812,8.11,"49,528","647,390",9,"('Pennsylvania', 'PA', '1787', 'Harrisburg', '1812', '8.11', '49528', '647390', '9'),"
39,Rhode Island,RI,1790,Providence,1900,18.5,"178,042","1,600,852",1,"('Rhode Island', 'RI', '1790', 'Providence', '1900', '18.5', '178042', '1600852', '1'),"
40,South Carolina,SC,1788,Columbia,1786,125.2,"129,272","767,598",2,"('South Carolina', 'SC', '1788', 'Columbia', '1786', '125.2', '129272', '767598', '2'),"
41,South Dakota,SD,1889,Pierre,1889,13,"13,646",,8,"('South Dakota', 'SD', '1889', 'Pierre', '1889', '13', '13646', '', '8'),"
42,Tennessee,TN,1796,Nashville,1826,525.9,"691,243","1,903,045",1,"('Tennessee', 'TN', '1796', 'Nashville', '1826', '525.9', '691243', '1903045', '1'),"
43,Texas,TX,1845,Austin,1839,305.1,"964,254","2,168,316",4,"('Texas', 'TX', '1845', 'Austin', '1839', '305.1', '964254', '2168316', '4'),"
44,Utah,UT,1896,Salt Lake City,1858,109.1,"186,440","1,087,873",1,"('Utah', 'UT', '1896', 'Salt Lake City', '1858', '109.1', '186440', '1087873', '1'),"
45,Vermont,VT,1791,Montpelier,1805,10.2,"7,855",,6,"('Vermont', 'VT', '1791', 'Montpelier', '1805', '10.2', '7855', '', '6'),"
46,Virginia,VA,1788,Richmond,1780,60.1,"204,214","1,208,101",4,"('Virginia', 'VA', '1788', 'Richmond', '1780', '60.1', '204214', '1208101', '4'),"
47,Washington,WA,1889,Olympia,1853,16.7,"46,478","234,670",24,"('Washington', 'WA', '1889', 'Olympia', '1853', '16.7', '46478', '234670', '24'),"
48,West Virginia,WV,1863,Charleston,1885,31.6,"51,400","304,214",1,"('West Virginia', 'WV', '1863', 'Charleston', '1885', '31.6', '51400', '304214', '1'),"
49,Wisconsin,WI,1848,Madison,1838,68.7,"233,209","605,435",2,"('Wisconsin', 'WI', '1848', 'Madison', '1838', '68.7', '233209', '605435', '2'),"
50,Wyoming,WY,1890,Cheyenne,1869,21.1,"59,466","91,738",1,"('Wyoming', 'WY', '1890', 'Cheyenne', '1869', '21.1', '59466', '91738', '1'),"
